"id","collection_id","status","action","type","created_at","last_updated_at","alias","user_id"
"b29851bc-2175-4da7-bb3a-f52b99509bb1","65f6410d-426d-47ed-8109-eba97f153df0","init","start","chat-with-data","2024-06-26 09:14:36","2024-06-26 10:24:31",NULL,NULL
"b320f75d-3288-45ec-9141-800292520a3b","ec9693b2-b5d8-419f-861d-0403d071ea76","init","start","chat-with-data","2024-07-05 11:22:44","2024-07-10 09:43:50",NULL,NULL
"b3686d9b-e55a-483a-88c2-3463e06e34d3","f6bb243d-af32-40b7-b28e-6ff69880f2b7","init","start","chat-with-data",NULL,NULL,NULL,NULL
"b3c53ca9-0787-43e1-b4ad-db84f134a555","eee273b4-a7c9-4366-aac8-bdf3dd3561c5","init","start","chat-with-data",NULL,NULL,NULL,NULL
"b3cc15b9-4238-4046-a9fe-c46d960eeb55","d5d7b2ac-4c36-40be-9ff0-ac48ba10ebdd","init","start","chat-with-data",NULL,NULL,NULL,NULL
"b41e98f1-3241-4e39-9013-5ea91b1bdd3e","9348d47b-0f91-4f2f-a66f-74da663f403d","init","start","chat-with-data","2024-07-17 14:59:29","2024-07-17 15:05:03","Raisons de ne pas perdre de poids",NULL
"b4230044-4acc-4be4-8b49-43a4f61d045f","1f7f2587-e2f4-410e-bfc8-c511ae9c70b2","init","start","chat-with-data","2024-06-23 17:00:18","2024-06-23 17:15:59",NULL,NULL
"b4a857f5-57d8-4673-b426-652fd9742535","1f7f2587-e2f4-410e-bfc8-c511ae9c70b2","init","start","chat-with-data","2024-06-24 21:46:41","2024-06-24 21:47:43",NULL,NULL
"b4bae50d-8d00-4ec3-8fdf-5b641793b8c9","131f1685-0f06-449a-bf36-5e840f7b8e2f","init","start","chat-with-data","2024-07-29 13:02:24","2024-07-29 13:05:18","Analyse SWOT pour Alternants",NULL
"b50cb931-aa65-4d80-8894-2612dccd29c5","ada40f4b-b1f3-4b32-a671-12c35322314c","init","start","coach-ia","2024-07-18 13:41:33","2024-07-18 13:42:27","Révolution créative grâce à l'IA générative",NULL
"b566e063-d43e-4a4f-a799-88935ab59d26","b4d93636-df57-4ede-9ebe-3452e1ce891d","init","start","chat-with-data",NULL,NULL,NULL,NULL
"b575e885-feb5-4161-8f15-c2f4278aee83","5e39bb9f-79cb-425b-ab0c-579d89c0f4c2","init","start","chat-with-data",NULL,NULL,NULL,NULL
"b5d5fbc3-1b49-416d-bfb3-8a98cf2d5250","03d4f714-9a71-4fab-9ff2-c0fd5d1e97b3","init","start","chat-with-data","2024-07-25 08:38:40","2024-07-25 16:18:55","Réseaux et Retrouvailles",NULL
"b7108b3f-d67a-46fb-b519-7d2307f63aaa","5587bcef-5bc4-4340-9d8a-09947f8afd64","init","start","chat-with-data","2024-07-16 11:53:53","2024-07-16 11:56:01","Stratégie de Vente pour New Tone Studio",NULL
"b7513390-ff02-4598-92a9-f86a6eb5df6c","748f27fd-75cc-4313-bc4d-be0a6bad0e15","init","start","chat-with-data",NULL,NULL,NULL,NULL
"b7891ac0-fdf3-428c-a0f2-024b12c9696b","6916a882-1249-4afd-8097-13a58013accb","init","start","coach-ia","2024-07-23 17:13:33","2024-07-23 17:16:21","Présentation PS",NULL
"b7b403fe-43d0-4edb-b1bd-66eb9fc5b232","e94dc56f-f41f-4b7b-bcd4-84954a286cd0","init","start","coach-ia","2024-06-26 08:33:43","2024-06-26 08:51:21",NULL,NULL
"b7f8f16b-2778-48e7-84d9-a2b580586310","77d9e334-1c59-42ed-a332-db302ebf1241","init","start","coach-ia","2024-07-18 08:44:41","2024-07-18 09:01:08","Maîtrise des outils bureautiques
Gestion du temps ",NULL
"b8251f8c-68cf-4a9b-a8fa-9335ed90847f","b4d93636-df57-4ede-9ebe-3452e1ce891d","init","start","chat-with-data",NULL,NULL,NULL,NULL
"b8742b96-c79f-46a1-9266-9bdbceda157e","d632bbfc-5a88-4257-9378-85d9ceadff10","init","start","chat-with-data",NULL,NULL,NULL,NULL
"b8d4b3ac-4586-4495-ac5d-c52130964f8b","a58e1ada-7ff3-41b3-be7f-71e7872111ae","init","start","coach-ia","2024-07-19 09:46:24","2024-07-19 09:46:24",NULL,NULL
"b97d0688-b692-4011-8d44-539e25a1bb6a","02c32f70-9a3c-4eda-ada3-c5ec2ad38d18","init","start","chat-with-data","2024-07-05 12:52:39","2024-07-05 12:52:39",NULL,NULL
"b999cf14-e853-4e38-92d6-e794bcaa90cb","015c6170-ffa1-4498-b714-52cb9aac0e31","init","start","coach-ia","2024-07-22 21:34:10","2024-07-22 21:41:23","Harmonisation de texte",NULL
"ba558ebf-6c0c-4b7e-bec0-8d84b08e026e","5a1331df-8d97-4517-a60f-7a32c4d5a63e","init","start","chat-with-data","2024-07-08 15:57:04","2024-07-08 16:15:29",NULL,NULL
"ba61a088-2351-4db9-8580-e4e5c5486c93","85bf09ba-272f-448c-8bd9-8c993a7edb97","init","start","chat-with-data",NULL,NULL,NULL,NULL
"bbb503d4-4966-4730-a34d-e18c58ea2478","98392cf2-f7b1-4f5d-a9fe-d3efa67e7ebd","init","start","chat-with-data","2024-08-01 08:56:55","2024-08-01 08:57:15","Correction de texte",NULL
"bbe02b7d-8b53-455d-a03f-df7d17de466f","ab05186c-f2cb-4d8c-bf65-e90172dcb392","init","start","coach-ia","2024-07-30 14:15:43","2024-07-30 14:24:00","Catchphrase améliorée",NULL
"bcedf914-6005-4899-9054-be48ef9bad28","65ac3e99-14c6-4529-b27b-0b5a037a310d","init","start","chat-with-data","2024-07-23 16:21:45","2024-07-23 16:23:23","Niveau d'autonomie au travail",NULL
"bd873f36-9d70-4e32-b127-b0397a580638","6916a882-1249-4afd-8097-13a58013accb","init","start","chat-with-data",NULL,NULL,NULL,NULL
"bd8913d9-d7ba-4a9d-ba6d-2170895d4292","8fc6d934-3e2f-450b-8a39-ed0bcb037437","init","start","chat-with-data","2024-07-24 15:33:43","2024-07-24 15:34:33",NULL,NULL
"bdd4740a-67c6-4ce3-a4e7-b4b46326d793","355b2dfa-9f73-4c06-8749-c47778e8ad06","init","start","chat-with-data","2024-06-23 15:43:26","2024-06-23 15:45:20",NULL,NULL
"bde2d785-8f54-44f7-b3d7-c3151e4cdec4","3db64e03-4be3-4b1e-94a3-55486195d6ee","init","start","chat-with-data","2024-07-15 05:44:12","2024-07-15 05:44:31","Différences de position entre Vial et Durain",NULL
"bdff2668-e511-4c5b-a9e2-48bb49529165","77d9e334-1c59-42ed-a332-db302ebf1241","init","start","chat-with-data","2024-07-25 13:34:56","2024-07-25 13:38:37","Encarts de formation",NULL
"be09a40d-c832-441c-9b29-b243aa357238","b4d93636-df57-4ede-9ebe-3452e1ce891d","init","start","chat-with-data",NULL,NULL,NULL,NULL
"be7227b7-92b0-4afc-8612-9a09cccfe4d3","6916a882-1249-4afd-8097-13a58013accb","init","start","chat-with-data",NULL,NULL,NULL,NULL
"be90c082-34ca-4d63-9c4a-c890438cd621","5da66891-11aa-4bae-bfde-7c5117754baf","init","start","chat-with-data","2024-07-25 10:16:10","2024-07-25 10:28:33","L'Épopée Cycliste",NULL
"becb586e-f72b-42d8-933d-f270e5e04ddb","d6443201-06a9-4607-930a-d87856cca443","init","start","chat-with-data","2024-07-25 07:08:30","2024-07-25 07:08:30",NULL,NULL
